rank,path,loc,weight,impact_score,cumulative_migrated_ts_lines,projected_rust_percent_after_lane
1,client/runtime/lib/mech_suit_mode.ts,451,,1262.8,451,88.722
2,adapters/cognition/skills/moltbook/moltbook_api.ts,548,,1150.8,999,88.912
3,adapters/cognition/skills/mcp/mcp_gateway.ts,453,,951.3,1452,89.069
4,client/lib/strategy_campaign_scheduler.ts,397,,873.4,1849,89.207
5,client/runtime/lib/queued_backlog_runtime.ts,303,,848.4,2152,89.312
6,client/runtime/lib/success_criteria_compiler.ts,300,,840,2452,89.416
7,client/runtime/systems/ops/system_health_audit_runner.ts,188,,808.4,2640,89.482
8,client/runtime/lib/upgrade_lane_runtime.ts,286,,800.8,2926,89.581
9,client/runtime/systems/memory/session_isolation.ts,181,,778.3,3107,89.644
10,client/runtime/lib/action_envelope.ts,277,,775.6,3384,89.74
11,client/runtime/systems/ops/readiness_bridge_pack.ts,180,,774,3564,89.802
12,client/runtime/lib/passport_iteration_chain.ts,274,,767.2,3838,89.897
13,core/layer1/memory_runtime/adaptive/layer_store.ts,504,,756,4342,90.072
14,client/runtime/lib/egress_gateway.ts,267,,747.6,4609,90.165
15,client/runtime/lib/test_compactor_benchmark.ts,266,,744.8,4875,90.257
16,client/runtime/lib/security_integrity.ts,260,,728,5135,90.347
17,client/lib/queue_sqlite_runtime.ts,300,,660,5435,90.451
18,client/lib/outcome_fitness.ts,287,,631.4,5722,90.551
19,client/lib/training_conduit_schema.ts,281,,618.2,6003,90.648
20,client/lib/capability_lease.ts,278,,611.6,6281,90.745
21,client/runtime/lib/tool_response_compactor.ts,218,,610.4,6499,90.821
22,core/layer1/memory_runtime/adaptive/focus_trigger_store.ts,391,,586.5,6890,90.956
23,client/lib/autonomy_receipt_schema.ts,249,,547.8,7139,91.043
24,client/lib/trit.ts,226,,497.2,7365,91.121
25,apps/photo-grit/systems/sensory/multimodal_signal_adapter_plane.ts,305,,457.5,7670,91.227
26,client/runtime/lib/ops_domain_conduit_runner.ts,163,,456.4,7833,91.283
27,client/lib/request_envelope.ts,204,,448.8,8037,91.354
28,client/runtime/patches/websocket-client-patch.ts,292,,438,8329,91.456
29,client/runtime/lib/quorum_validator.ts,154,,431.2,8483,91.509
30,client/cognition/orchestration/scratchpad.ts,269,,403.5,8752,91.602
31,client/runtime/patches/websocket-server-patch.ts,259,,388.5,9011,91.692
32,client/lib/mutation_provenance.ts,171,,376.2,9182,91.752
33,client/runtime/systems/sensory/conversation_eye_synthesizer.ts,86,,369.8,9268,91.781
34,client/cognition/orchestration/taskgroup.ts,223,,334.5,9491,91.859
35,client/runtime/lib/action_receipts.ts,118,,330.4,9609,91.9
36,client/lib/conduit_full_lifecycle_probe.ts,149,,327.8,9758,91.951
37,core/layer1/memory_runtime/adaptive/habit_store.ts,216,,324,9974,92.026
38,client/lib/trainability_matrix.ts,146,,321.2,10120,92.077
39,core/layer1/memory_runtime/adaptive/reflex_store.ts,214,,321,10334,92.151
40,client/lib/dynamic_burn_budget_signal.ts,143,,314.6,10477,92.201
41,client/runtime/lib/policy_runtime.ts,109,,305.2,10586,92.239
42,client/cognition/orchestration/scope.ts,202,,303,10788,92.309
43,client/cognition/orchestration/completion.ts,198,,297,10986,92.377
44,client/runtime/lib/moltbook_api.ts,102,,285.6,11088,92.413
45,client/runtime/patches/websocket-heartbeat.ts,189,,283.5,11277,92.478
46,client/lib/emergency_stop.ts,123,,270.6,11400,92.521
47,core/layer1/memory_runtime/adaptive/catalog_store.ts,179,,268.5,11579,92.583
48,client/lib/proposal_type_classifier.ts,117,,257.4,11696,92.624
49,client/runtime/systems/memory/rust_memory_transition_lane.ts,59,,253.7,11755,92.644
50,client/cognition/orchestration/partial.ts,155,,232.5,11910,92.698
51,client/runtime/lib/state_artifact_contract.ts,80,,224,11990,92.726
52,packages/protheus-npm/scripts/install.ts,146,,219,12136,92.776
53,packages/protheus-edge/index.ts,143,,214.5,12279,92.826
54,client/cognition/orchestration/coordinator.ts,139,,208.5,12418,92.874
55,client/cognition/orchestration/checkpoint.ts,131,,196.5,12549,92.92
56,adapters/importers/generic_yaml_importer.ts,93,,195.3,12642,92.952
57,client/runtime/systems/ops/f100_readiness_remediation.ts,44,,189.2,12686,92.967
58,packages/protheus-core/index.ts,123,,184.5,12809,93.01
59,client/runtime/lib/runtime_path_registry.ts,59,,165.2,12868,93.03
60,packages/protheus-npm/bin/protheus.ts,96,,144,12964,93.064
61,adapters/importers/openfang_importer.ts,67,,140.7,13031,93.087
62,adapters/importers/workflow_graph_importer.ts,67,,140.7,13098,93.11
63,adapters/importers/generic_json_importer.ts,66,,138.6,13164,93.133
64,client/runtime/lib/uid.ts,46,,128.8,13210,93.149
65,client/runtime/lib/agent_passport_link.ts,45,,126,13255,93.165
66,client/runtime/lib/tool_compactor_integration.ts,45,,126,13300,93.18
67,client/runtime/lib/eyes_catalog.ts,42,,117.6,13342,93.195
68,client/cognition/orchestration/cli_shared.ts,71,,106.5,13413,93.22
69,client/runtime/lib/ts_entrypoint.ts,37,,103.6,13450,93.232
70,client/cognition/orchestration/schema_runtime.ts,62,,93,13512,93.254
71,client/runtime/lib/integrity_hash_utility.ts,32,,89.6,13544,93.265
72,client/runtime/lib/command_output_compactor.ts,30,,84,13574,93.275
73,core/layer1/memory_runtime/adaptive/uid.ts,53,,79.5,13627,93.294
74,packages/protheus-core/core_profile_contract.ts,53,,79.5,13680,93.312
75,packages/protheus-npm/scripts/smoke.ts,43,,64.5,13723,93.327
76,client/cognition/shared/lib/legacy_retired_wrapper.ts,38,,57,13761,93.34
77,client/cli/bin/protheus-graph.ts,37,,55.5,13798,93.353
78,client/runtime/platform/api/donate_gpu.ts,29,,43.5,13827,93.363
79,adapters/cognition/collectors/bird_x.ts,19,,39.9,13846,93.37
80,adapters/cognition/collectors/ollama_search.ts,19,,39.9,13865,93.376
81,client/lib/protheus_suite_tooling.ts,18,,39.6,13883,93.383
82,client/lib/redaction_classification.ts,14,,30.8,13897,93.388
83,vitest.config.ts,19,,28.5,13916,93.394
84,adapters/cognition/skills/imap-smtp-email/scripts/imap.ts,10,,21,13926,93.398
85,adapters/cognition/skills/imap-smtp-email/scripts/smtp.ts,10,,21,13936,93.401
86,adapters/cognition/skills/moltbook/actuation_adapter.ts,10,,21,13946,93.405
87,adapters/cognition/skills/moltbook/moltbook_publish_guard.ts,10,,21,13956,93.408
88,adapters/cognition/skills/moltbook/proposal_template.ts,10,,21,13966,93.411
89,adapters/cognition/skills/moltstack/scripts/publish.ts,10,,21,13976,93.415
90,adapters/cognition/skills/moltstack/scripts/quality-check.ts,10,,21,13986,93.418
91,client/types/node_compat.d.ts,12,,18,13998,93.423
92,client/lib/ts_entrypoint.ts,6,,13.2,14004,93.425
93,client/lib/action_envelope.ts,5,,11,14009,93.426
94,client/lib/action_receipts.ts,5,,11,14014,93.428
95,client/lib/agent_passport_link.ts,5,,11,14019,93.43
96,client/lib/approval_gate.ts,5,,11,14024,93.432
97,client/lib/command_output_compactor.ts,5,,11,14029,93.433
98,client/lib/directive_resolver.ts,5,,11,14034,93.435
99,client/lib/duality_seed.ts,5,,11,14039,93.437
100,client/lib/egress_gateway.ts,5,,11,14044,93.439
101,client/lib/exec_compacted.ts,5,,11,14049,93.44
102,client/lib/eyes_catalog.ts,5,,11,14054,93.442
103,client/lib/integrity_hash_utility.ts,5,,11,14059,93.444
104,client/lib/legacy_alias_adapter.ts,5,,11,14064,93.445
105,client/lib/legacy_conduit_proxy.ts,5,,11,14069,93.447
106,client/lib/mech_suit_mode.ts,5,,11,14074,93.449
107,client/lib/ops_domain_conduit_runner.ts,5,,11,14079,93.451
108,client/lib/passport_iteration_chain.ts,5,,11,14084,93.452
109,client/lib/policy_runtime.ts,5,,11,14089,93.454
