rank,path,loc,weight,impact_score,cumulative_migrated_ts_lines,projected_rust_percent_after_lane
1,systems/autonomy/autonomy_controller.ts,17810,4.3,76583,17810,5.809
2,systems/autonomy/inversion_controller.ts,6229,4.3,26784.7,24039,7.434
3,systems/spine/spine.ts,6237,3.8,23700.6,30276,9.061
4,systems/routing/model_router.ts,4421,3.6,15915.6,34697,10.214
5,systems/workflow/workflow_executor.ts,4847,3.2,15510.4,39544,11.479
6,systems/autonomy/proposal_enricher.ts,2912,3,8736,42456,12.238
7,systems/personas/cli.ts,3926,2.1,8244.6,46382,13.263
8,systems/autonomy/health_status.ts,2570,2.8,7196,48952,13.933
9,systems/ops/autotest_doctor.ts,2729,2.2,6003.8,51681,14.645
10,systems/ops/foundation_contract_gate.ts,2369,2.4,5685.6,54050,15.263
11,systems/memory/idle_dream_cycle.ts,2290,2.3,5267,56340,15.86
12,systems/ops/autotest_controller.ts,2103,2.5,5257.5,58443,16.409
13,systems/personas/orchestration.ts,2325,2.1,4882.5,60768,17.015
14,systems/spine/contract_check.ts,1684,2.8,4715.2,62452,17.455
15,systems/execution/task_decomposition_primitive.ts,1735,2.7,4684.5,64187,17.907
16,systems/autonomy/strategy_mode_governor.ts,1403,3,4209,65590,18.273
17,systems/assimilation/assimilation_controller.ts,1801,2.3,4142.3,67391,18.743
18,systems/sensory/focus_controller.ts,1782,2.3,4098.6,69173,19.208
19,systems/autonomy/outcome_fitness_loop.ts,1262,3,3786,70435,19.537
20,systems/continuum/continuum_core.ts,1792,2.1,3763.2,72227,20.005
21,systems/weaver/weaver_core.ts,1735,2.1,3643.5,73962,20.457
22,systems/autonomy/improvement_controller.ts,1068,3.3,3524.4,75030,20.736
23,systems/ops/execution_yield_recovery.ts,1438,2.4,3451.2,76468,21.111
24,systems/autonomy/red_team_harness.ts,1227,2.8,3435.6,77695,21.431
25,systems/ops/state_kernel.ts,1390,2.4,3336,79085,21.794
26,systems/memory/rust_memory_transition_lane.ts,1422,2.3,3270.6,80507,22.165
27,systems/autonomy/mirror_organ.ts,1059,3,3177,81566,22.441
28,systems/autonomy/runtime_stability_soak.ts,1057,3,3171,82623,22.717
29,systems/ops/protheus_control_plane.ts,1256,2.4,3014.4,83879,23.044
30,systems/security/venom_containment_layer.ts,1198,2.5,2995,85077,23.357
31,systems/autonomy/autonomy_simulation_harness.ts,1068,2.8,2990.4,86145,23.635
32,systems/workflow/orchestron/candidate_generator.ts,1354,2.2,2978.8,87499,23.989
33,systems/autonomy/gated_self_improvement_loop.ts,975,3,2925,88474,24.243
34,systems/ops/rust50_migration_program.ts,1215,2.4,2916,89689,24.56
35,systems/workflow/orchestron/adaptive_controller.ts,1109,2.5,2772.5,90798,24.849
36,systems/autonomy/pain_signal.ts,914,3,2742,91712,25.088
37,systems/workflow/workflow_controller.ts,1061,2.5,2652.5,92773,25.364
38,systems/ops/dynamic_burn_budget_oracle.ts,1105,2.4,2652,93878,25.653
39,systems/workflow/universal_outreach_primitive.ts,1200,2.2,2640,95078,25.966
40,systems/ops/organ_atrophy_controller.ts,969,2.7,2616.3,96047,26.219
41,systems/autonomy/drift_target_governor.ts,859,3,2577,96906,26.443
42,systems/actuation/universal_execution_primitive.ts,1296,1.9,2462.4,98202,26.781
43,systems/routing/route_execute.ts,945,2.6,2457,99147,27.027
44,systems/ops/rust_enterprise_productivity_program.ts,1022,2.4,2452.8,100169,27.294
45,systems/security/directive_hierarchy_controller.ts,874,2.8,2447.2,101043,27.522
46,systems/ops/backlog_registry.ts,1016,2.4,2438.4,102059,27.787
47,systems/ops/backlog_github_sync.ts,999,2.4,2397.6,103058,28.047
48,systems/security/agent_passport.ts,950,2.5,2375,104008,28.295
49,systems/autonomy/adaptive_crystallizer.ts,791,3,2373,104799,28.502
50,systems/autonomy/model_catalog_loop.ts,783,3,2349,105582,28.706
51,systems/routing/llm_gateway.ts,893,2.6,2321.8,106475,28.939
52,systems/autonomy/self_improvement_cadence_orchestrator.ts,767,3,2301,107242,29.139
53,systems/autonomy/improvement_orchestrator.ts,766,3,2298,108008,29.339
54,systems/security/guard.ts,896,2.5,2240,108904,29.572
55,systems/autonomy/receipt_summary.ts,721,3,2163,109625,29.761
56,systems/ops/llm_economy_organ.ts,885,2.4,2124,110510,29.991
57,systems/security/remote_emergency_halt.ts,849,2.5,2122.5,111359,30.213
58,systems/autonomy/pain_adaptive_router.ts,702,3,2106,112061,30.396
59,systems/autonomy/hold_remediation_engine.ts,632,3.3,2085.6,112693,30.561
60,systems/autonomy/collective_shadow.ts,687,3,2061,113380,30.74
61,systems/autonomy/tier1_governance.ts,670,3,2010,114050,30.915
